Time,NPoints,FrameTime
1588708829780015,337820,120608
1588708829911789,366041,14620
1588708829926521,366041,10386
1588708829969299,366041,12505
1588708830042120,394288,14693
1588708830100875,394288,16506
1588708830169005,394288,15639
1588708830242233,422498,17903
1588708830301540,422498,15487
1588708830369728,422498,15334
1588708830462095,450688,13562
1588708830513270,450688,14981
1588708830568480,450688,17113
1588708830636143,478918,18449
1588708830711409,478918,19803
1588708830771462,478918,17429
1588708830845873,507117,18324
1588708830902486,507117,19832
1588708830971697,507117,18910
1588708831041392,535334,18492
1588708831107310,535334,15324
1588708831170273,535334,17217
1588708831241647,563548,17827
1588708831308723,563548,15702
1588708831376958,563548,17254
1588708831445476,591761,17292
1588708831505487,591761,17916
1588708831574516,591761,18279
1588708831641526,620042,19688
1588708831700011,620042,18525
1588708831770876,620042,21994
1588708831836124,620042,19279
1588708831913026,648375,19884
1588708831969523,648375,20693
1588708832039952,648375,20584
1588708832105390,676757,21528
1588708832171400,676757,20003
1588708832247483,705102,21825
1588708832303739,705102,23465
1588708832371615,705102,20254
1588708832447570,733412,24079
1588708832507512,733412,19906
1588708832576935,733412,24329
1588708832640622,761671,21768
1588708832709529,761671,20322
1588708832772418,761671,18955
1588708832847457,761671,24509
1588708832902012,789872,18582
1588708832976202,789872,22011
1588708833063366,818125,25952
1588708833103337,818125,24700
1588708833186846,818125,23553
1588708833243422,818125,20917
1588708833301872,846415,19897
1588708833368420,846415,21698
1588708833454947,846785,23185
1588708833507214,846785,20063
1588708833570953,846785,20067
1588708833639410,846785,27019
1588708833700804,847095,24750
1588708833776989,847095,25694
1588708833845715,847095,23427
1588708833907057,847439,25453
1588708833979991,847439,22461
1588708834047431,847626,26222
1588708834108152,847626,29645
1588708834170859,847626,27323
1588708834256783,847626,23170
1588708834308482,847773,26062
1588708834374960,847773,22219
1588708834444461,847773,25647
1588708834514059,847940,22451
1588708834587845,847940,22772
1588708834641584,848081,25316
1588708834709744,848081,24955
1588708834771468,848081,21089
1588708834839666,848081,23992
1588708834914502,848259,23424
1588708834969685,848259,25034
1588708835045103,848259,22301
1588708835105762,848392,23654
1588708835178941,848392,23910
1588708835236718,848392,24484
1588708835312829,848453,23640
1588708835381362,848453,23877
1588708835440096,848453,23999
1588708835529586,848361,25707
1588708835573413,848361,24392
1588708835665426,848220,25139
1588708835709624,848220,25359
1588708835773173,848220,22257
1588708835841152,848220,23347
1588708835905363,848260,22985
1588708835976569,848260,23861
1588708836036096,848260,21925
1588708836119812,848307,21836
1588708836173824,848307,24400
1588708836259118,848494,25549
1588708836312789,848494,22160
1588708836375236,848494,23696
1588708836455906,848494,22928
1588708836513787,848664,23169
1588708836594230,848664,21422
1588708836643476,848757,25935
1588708836708192,848757,20716
1588708836780090,848757,20731
1588708836841380,848757,23701
1588708836916781,848899,23029
1588708836974095,848899,22783
1588708837050741,848899,22640
1588708837108661,848989,23682
1588708837177996,848989,24782
