Time,NPoints,FrameTime
1588708785701082,309842,117908
1588708785829267,338063,21115
1588708785873130,338063,19663
1588708785945944,366310,19160
1588708786004663,366310,20341
1588708786072538,366310,17364
1588708786146002,394520,17658
1588708786205370,394520,18607
1588708786273485,394520,19933
1588708786357245,422710,15716
1588708786417055,422710,18801
1588708786472211,422710,17223
1588708786539732,450940,17980
1588708786615476,450940,17874
1588708786675185,450940,18263
1588708786749644,479139,18659
1588708786806229,479139,18816
1588708786875507,479139,19952
1588708786945146,507356,19415
1588708787011425,507356,18187
1588708787073998,507356,17859
1588708787145394,535570,19140
1588708787212534,535570,18738
1588708787280753,535570,19719
1588708787347903,563783,21118
1588708787409302,563783,21047
1588708787478308,563783,20822
1588708787545335,592064,19624
1588708787603818,592064,21796
1588708787674604,592064,20376
1588708787739892,592064,19866
1588708787816817,620397,19491
1588708787873224,620397,22128
1588708787943720,620397,20733
1588708788009016,648779,19983
1588708788075044,648779,23613
1588708788151215,677124,20015
1588708788207357,677124,21202
1588708788275276,677124,19821
1588708788351386,705434,22537
1588708788411367,705434,19845
1588708788480703,705434,23499
1588708788544404,733693,21729
1588708788613291,733693,19627
1588708788676137,733693,22837
1588708788751193,733693,23320
1588708788806318,761894,23984
1588708788879961,761894,24062
1588708788967679,790147,23200
1588708789007149,790147,22825
1588708789090497,790147,27183
1588708789147099,790147,24132
1588708789205656,818437,26431
1588708789272196,818437,27090
1588708789364192,846785,24003
1588708789410981,846785,27674
1588708789474746,846785,24100
1588708789543154,846785,27077
1588708789604561,847095,24366
1588708789680694,847095,25795
1588708789749491,847095,23307
1588708789810510,847439,30418
1588708789883713,847439,31533
1588708789949516,847626,25532
1588708790011924,847626,24851
1588708790074509,847626,27818
1588708790160500,847626,24163
1588708790212187,847773,26837
1588708790278676,847773,25225
1588708790348239,847773,25121
1588708790417826,847940,22820
1588708790491592,847940,27659
1588708790548762,848081,22340
1588708790613517,848081,24818
1588708790675076,848081,33343
1588708790743400,848081,22133
1588708790818335,848259,23777
1588708790873380,848259,24883
1588708790948884,848259,22080
1588708791009580,848392,24235
1588708791082711,848392,26784
1588708791140487,848392,23798
1588708791216456,848453,22859
1588708791285033,848453,24855
1588708791343688,848453,24580
1588708791433202,848361,24099
1588708791477173,848361,23237
1588708791570875,848220,27930
1588708791613346,848220,24515
1588708791676851,848220,22958
1588708791744647,848220,22712
1588708791809057,848260,20883
1588708791880264,848260,22546
1588708791939774,848260,20706
1588708792023676,848307,24665
1588708792077539,848307,22308
1588708792162074,848494,21710
1588708792216574,848494,24254
1588708792278973,848494,26510
1588708792359689,848494,31150
1588708792414773,848664,25545
1588708792497937,848664,24654
1588708792547182,848757,27312
1588708792611895,848757,26139
1588708792683949,848757,26365
1588708792745170,848757,25001
1588708792820571,848899,25493
1588708792877859,848899,21945
1588708792954537,848899,23341
1588708793012465,848989,24824
1588708793081806,848989,26230
