Time,NPoints,FrameTime
1588708862844597,309842,114063
1588708862973873,338063,12708
1588708863012196,338063,13009
1588708863085003,366310,13559
1588708863143808,366310,15560
1588708863211673,366310,16486
1588708863285132,394520,14177
1588708863344415,394520,13793
1588708863412506,394520,13588
1588708863502362,422710,14782
1588708863556255,422710,16075
1588708863611306,422710,15725
1588708863678887,450940,14763
1588708863754257,450940,14773
1588708863814243,450940,14472
1588708863889109,479139,15021
1588708863945254,479139,16452
1588708864014641,479139,15122
1588708864084290,507356,16667
1588708864150244,507356,16560
1588708864213071,507356,16477
1588708864284523,535570,18176
1588708864351657,535570,16991
1588708864419849,535570,16577
1588708864490911,563783,17597
1588708864548390,563783,17599
1588708864617428,563783,16083
1588708864684420,592064,16316
1588708864742923,592064,16057
1588708864813716,592064,17586
1588708864879026,592064,17729
1588708864955968,620397,16441
1588708865012360,620397,16170
1588708865082868,620397,17417
1588708865148149,648779,17828
1588708865214399,648779,18005
1588708865290410,677124,18332
1588708865346495,677124,18663
1588708865414373,677124,19411
1588708865495183,705434,18602
1588708865550497,705434,18143
1588708865619853,705434,17222
1588708865688351,733693,20410
1588708865752325,733693,19985
1588708865815343,733693,21592
1588708865890332,733693,20117
1588708865944799,761894,19160
1588708866019175,761894,18707
1588708866107945,790147,21955
1588708866146195,790147,21620
1588708866229607,790147,19521
1588708866286222,790147,20213
1588708866344757,818437,20856
1588708866411320,818437,22529
1588708866502626,846785,20445
1588708866550091,846785,21712
1588708866613833,846785,22848
1588708866682283,846785,22205
1588708866743703,847095,20718
1588708866819944,847095,20331
1588708866888783,847095,21363
1588708866949630,847439,19890
1588708867022944,847439,22524
1588708867086186,847626,21553
1588708867150935,847626,24431
1588708867213675,847626,20908
1588708867299635,847626,22053
1588708867351337,847773,22081
1588708867417833,847773,20922
1588708867487395,847773,21345
1588708867556979,847940,20553
1588708867630731,847940,22022
1588708867685904,848081,22062
1588708867752798,848081,22386
1588708867814294,848081,21084
1588708867882530,848081,21818
1588708867957398,848259,20285
1588708868012433,848259,20919
1588708868088118,848259,22559
1588708868148725,848392,19863
1588708868221849,848392,19270
1588708868279671,848392,19334
1588708868355569,848453,22034
1588708868424100,848453,22660
1588708868482870,848453,19491
1588708868572392,848361,23746
1588708868616368,848361,19933
1588708868708062,848220,21253
1588708868752421,848220,20687
1588708868815954,848220,20453
1588708868883771,848220,21724
1588708868948308,848260,21666
1588708869019299,848260,20095
1588708869078919,848260,20130
1588708869162813,848307,22379
1588708869216586,848307,21039
1588708869305989,848494,21202
1588708869355708,848494,19061
1588708869418104,848494,19020
1588708869498757,848494,20187
1588708869551741,848664,20285
1588708869637103,848664,21585
1588708869686521,848757,23315
1588708869751061,848757,21866
1588708869823099,848757,20920
1588708869884285,848757,21301
1588708869959701,848899,20088
1588708870017041,848899,20694
1588708870093704,848899,21651
1588708870151582,848989,21217
1588708870220945,848989,20114
