Time,NPoints,FrameTime
1588708851925473,337820,128382
1588708852065110,366041,13814
1588708852093500,394288,15037
1588708852152251,394288,15749
1588708852220153,394288,15204
1588708852293627,422498,15225
1588708852352967,422498,14787
1588708852421120,422498,15622
1588708852509435,450688,16800
1588708852564717,450688,14670
1588708852619828,450688,15144
1588708852687320,478918,17218
1588708852762810,478918,15775
1588708852822850,478918,16540
1588708852897470,507117,17680
1588708852953884,507117,18317
1588708853023149,507117,17191
1588708853092786,535334,17965
1588708853158728,535334,16971
1588708853221658,535334,16582
1588708853293271,563548,16891
1588708853360138,563548,17595
1588708853428328,563548,17514
1588708853504492,591761,18602
1588708853556922,591761,20946
1588708853625923,591761,17441
1588708853692901,620042,18037
1588708853751489,620042,19480
1588708853822289,620042,19280
1588708853887677,620042,18509
1588708853964424,648375,17786
1588708854020823,648375,19931
1588708854091380,648375,20147
1588708854156677,676757,22170
1588708854222899,676757,20130
1588708854298881,705102,20979
1588708854354952,705102,18507
1588708854423013,705102,21240
1588708854499225,733412,21599
1588708854558973,733412,21489
1588708854628304,733412,21720
1588708854692048,761671,19939
1588708854760972,761671,20777
1588708854823877,761671,21574
1588708854898691,761671,20101
1588708854953673,789872,20349
1588708855027687,789872,21543
1588708855117732,818125,18107
1588708855154746,818125,20924
1588708855238238,818125,20738
1588708855294709,818125,19244
1588708855353244,846415,22480
1588708855420009,846415,21901
1588708855503172,846785,24532
1588708855558623,846785,22866
1588708855622392,846785,21766
1588708855690726,846785,24128
1588708855752187,847095,22587
1588708855828433,847095,22405
1588708855897112,847095,23753
1588708855958161,847439,23439
1588708856031400,847439,22334
1588708856095165,847626,22762
1588708856159502,847626,23723
1588708856222167,847626,23127
1588708856308125,847626,21196
1588708856359878,847773,20099
1588708856426295,847773,21746
1588708856495837,847773,20476
1588708856565508,847940,21554
1588708856639180,847940,22682
1588708856693002,848081,21787
1588708856761096,848081,19985
1588708856822829,848081,21829
1588708856891016,848081,22960
1588708856965853,848259,22152
1588708857020928,848259,22159
1588708857096524,848259,20993
1588708857157191,848392,20403
1588708857230360,848392,20799
1588708857288115,848392,23228
1588708857363940,848453,19902
1588708857432627,848453,22015
1588708857491352,848453,22869
1588708857580950,848361,19805
1588708857624756,848361,18682
1588708857713289,848220,19943
1588708857760900,848220,23974
1588708857824428,848220,18552
1588708857892449,848220,21788
1588708857956780,848260,21574
1588708858027750,848260,20463
1588708858087395,848260,20879
1588708858171476,848307,22872
1588708858225117,848307,20585
1588708858311008,848494,22275
1588708858364219,848494,25129
1588708858426620,848494,23720
1588708858507289,848494,21631
1588708858563122,848664,20091
1588708858645573,848664,20976
1588708858694966,848757,21368
1588708858759529,848757,22344
1588708858831484,848757,22451
1588708858892776,848757,21129
1588708858968194,848899,22192
1588708859025593,848899,19906
1588708859102196,848899,21987
1588708859160067,848989,19199
1588708859229407,848989,20402
