Time,NPoints,FrameTime
1588708774780523,309842,119137
1588708774909848,338063,16293
1588708774948815,338063,14669
1588708775021746,366310,17839
1588708775080421,366310,17513
1588708775148278,366310,17775
1588708775221751,394520,17866
1588708775281144,394520,18887
1588708775349178,394520,19488
1588708775439659,422710,22092
1588708775492834,422710,23572
1588708775547933,422710,18641
1588708775615546,450940,23842
1588708775691234,450940,20950
1588708775750914,450940,23156
1588708775825459,479139,25339
1588708775882059,479139,21773
1588708775951240,479139,26338
1588708776020881,507356,21339
1588708776086856,507356,24723
1588708776149747,507356,20647
1588708776221299,535570,21892
1588708776288277,535570,19156
1588708776356540,535570,21995
1588708776428785,563783,23833
1588708776485021,563783,22168
1588708776554052,563783,22770
1588708776621027,592064,22834
1588708776679565,592064,23314
1588708776750351,592064,23685
1588708776815642,592064,22264
1588708776892538,620397,24073
1588708776948993,620397,22413
1588708777019483,620397,24351
1588708777084899,648779,21995
1588708777150909,648779,25567
1588708777227004,677124,26393
1588708777283114,677124,19458
1588708777351053,677124,21688
1588708777421882,705434,24579
1588708777487007,705434,22475
1588708777556432,705434,24868
1588708777621754,733693,27531
1588708777689020,733693,24646
1588708777751842,733693,24895
1588708777826845,733693,29033
1588708777881457,761894,26753
1588708777955631,761894,24994
1588708778036943,790147,28420
1588708778082814,790147,29239
1588708778166235,790147,25639
1588708778222834,790147,27051
1588708778281395,818437,28853
1588708778347929,818437,26795
1588708778438500,846785,32258
1588708778486719,846785,37732
1588708778550445,846785,28033
1588708778618891,846785,33846
1588708778680311,847095,27290
1588708778756392,847095,29370
1588708778825431,847095,29924
1588708778886262,847439,25539
1588708778959412,847439,27572
1588708779022389,847626,24503
1588708779087624,847626,25653
1588708779150256,847626,27649
1588708779236222,847626,31244
1588708779293175,847773,25238
1588708779354398,847773,25507
1588708779423979,847773,28389
1588708779493559,847940,28295
1588708779567296,847940,25385
1588708779622784,848081,32511
1588708779689330,848081,29499
1588708779750876,848081,22999
1588708779819184,848081,28700
1588708779894222,848259,27354
1588708779949152,848259,27099
1588708780024690,848259,26964
1588708780085291,848392,26153
1588708780158427,848392,22936
1588708780216228,848392,28591
1588708780292222,848453,27276
1588708780360803,848453,27569
1588708780419426,848453,27418
1588708780508947,848361,26139
1588708780552968,848361,29630
1588708780640649,848220,29759
1588708780689080,848220,28966
1588708780752548,848220,27000
1588708780820412,848220,29490
1588708780884806,848260,23117
1588708780955868,848260,26947
1588708781015512,848260,30662
1588708781099447,848307,31102
1588708781153232,848307,27947
1588708781237676,848494,25741
1588708781292291,848494,24506
1588708781354707,848494,28882
1588708781435303,848494,27257
1588708781490989,848664,26329
1588708781573658,848664,28122
1588708781622984,848757,29985
1588708781687689,848757,28590
1588708781759654,848757,26968
1588708781820904,848757,29729
1588708781896282,848899,27084
1588708781953557,848899,23243
1588708782030218,848899,30165
1588708782088246,848989,26907
1588708782157533,848989,28811
