Time,NPoints,FrameTime
1588708884875234,309842,115898
1588708885001574,338063,12979
1588708885041470,338063,12205
1588708885114297,366310,14247
1588708885173041,366310,17972
1588708885241149,366310,13847
1588708885314392,394520,14090
1588708885373631,394520,13821
1588708885441839,394520,14835
1588708885533172,422710,14653
1588708885585589,422710,13658
1588708885640600,422710,14043
1588708885708131,450940,15215
1588708885783549,450940,15841
1588708885843546,450940,16302
1588708885917963,479139,14982
1588708885974560,479139,19723
1588708886043868,479139,15479
1588708886113519,507356,17224
1588708886179582,507356,15117
1588708886242371,507356,16601
1588708886313756,535570,16986
1588708886380913,535570,16001
1588708886449136,535570,17270
1588708886522824,563783,16384
1588708886577619,563783,16494
1588708886646646,563783,14893
1588708886713709,592064,19376
1588708886772174,592064,17837
1588708886842956,592064,17508
1588708886908252,592064,18645
1588708886985200,620397,17776
1588708887041600,620397,18071
1588708887112104,620397,17837
1588708887177589,648779,19846
1588708887243578,648779,17889
1588708887319617,677124,20133
1588708887375736,677124,19033
1588708887443548,677124,17099
1588708887521416,705434,21664
1588708887579668,705434,19341
1588708887649066,705434,19824
1588708887712744,733693,20198
1588708887781708,733693,19005
1588708887844571,733693,19334
1588708887919565,733693,19281
1588708887975156,761894,18397
1588708888048531,761894,19983
1588708888135859,790147,20324
1588708888175507,790147,19643
1588708888258845,790147,18993
1588708888315458,790147,18187
1588708888374025,818437,19596
1588708888440544,818437,19800
1588708888530265,846785,19397
1588708888579310,846785,19616
1588708888643106,846785,19673
1588708888711515,846785,20469
1588708888772936,847095,20039
1588708888848999,847095,20222
1588708888918049,847095,20089
1588708888978919,847439,19367
1588708889052081,847439,20337
1588708889114700,847626,19495
1588708889180238,847626,18603
1588708889242867,847626,19953
1588708889328892,847626,19779
1588708889380695,847773,18470
1588708889447112,847773,21332
1588708889516622,847773,20486
1588708889586456,847940,20683
1588708889659920,847940,20584
1588708889713990,848081,20598
1588708889781841,848081,21727
1588708889843498,848081,19320
1588708889911755,848081,21512
1588708889986607,848259,19254
1588708890041653,848259,20258
1588708890117342,848259,20151
1588708890177903,848392,19236
1588708890251100,848392,19717
1588708890308872,848392,19953
1588708890384862,848453,19920
1588708890453427,848453,18863
1588708890512058,848453,20256
1588708890601686,848361,19417
1588708890645538,848361,18826
1588708890740747,848220,19896
1588708890781734,848220,20574
1588708890845228,848220,20045
1588708890913244,848220,20460
1588708890977562,848260,23068
1588708891048881,848260,25401
1588708891108144,848260,22171
1588708891191962,848307,20572
1588708891245864,848307,19867
1588708891332748,848494,19923
1588708891384947,848494,19311
1588708891447349,848494,19204
1588708891528056,848494,20547
1588708891579704,848664,17454
1588708891666291,848664,20503
1588708891715721,848757,20328
1588708891780290,848757,20885
1588708891852370,848757,19517
1588708891913531,848757,20382
1588708891988957,848899,20070
1588708892047370,848899,18344
1588708892122892,848899,21332
1588708892180847,848989,22491
1588708892250203,848989,19005
