Time,NPoints,FrameTime
1588708840799967,337820,128988
1588708840942702,366041,14307
1588708840984123,366041,14314
1588708841056952,394288,14546
1588708841115673,394288,15355
1588708841183562,394288,14889
1588708841257025,422498,16268
1588708841316292,422498,16834
1588708841384485,422498,16649
1588708841470703,450688,14967
1588708841528308,450688,16716
1588708841583255,450688,15653
1588708841650857,478918,17477
1588708841726215,478918,15865
1588708841786234,478918,15914
1588708841860623,507117,16320
1588708841917373,507117,17194
1588708841986539,507117,16835
1588708842056200,535334,17973
1588708842122205,535334,15697
1588708842185080,535334,13604
1588708842256685,563548,18366
1588708842323568,563548,18697
1588708842391751,563548,19185
1588708842464723,591761,21074
1588708842520350,591761,18138
1588708842589327,591761,17993
1588708842656374,620042,19013
1588708842714819,620042,19173
1588708842785620,620042,20597
1588708842850912,620042,20538
1588708842927928,648375,19371
1588708842984270,648375,17407
1588708843054723,648375,16366
1588708843120186,676757,22677
1588708843186220,676757,18709
1588708843262289,705102,19794
1588708843318454,705102,18786
1588708843386277,705102,16058
1588708843457861,733412,19125
1588708843522389,733412,20545
1588708843591719,733412,22086
1588708843655396,761671,20673
1588708843724374,761671,22557
1588708843787199,761671,20593
1588708843862196,761671,22276
1588708843916898,789872,22630
1588708843991105,789872,22326
1588708844080870,818125,21848
1588708844118137,818125,21720
1588708844201535,818125,24803
1588708844258123,818125,22019
1588708844316684,846415,22225
1588708844383450,846415,23127
1588708844467286,846785,24862
1588708844521975,846785,23818
1588708844585713,846785,18632
1588708844654207,846785,22242
1588708844715593,847095,23782
1588708844791697,847095,22898
1588708844860496,847095,22976
1588708844921552,847439,21362
1588708844994759,847439,22302
1588708845055942,847626,21374
1588708845122787,847626,22570
1588708845185615,847626,22433
1588708845271605,847626,22741
1588708845323157,847773,24546
1588708845389735,847773,22707
1588708845459242,847773,22706
1588708845528876,847940,22066
1588708845602572,847940,25701
1588708845656799,848081,24419
1588708845724539,848081,23871
1588708845786224,848081,21657
1588708845854416,848081,20741
1588708845929272,848259,21384
1588708845984355,848259,19544
1588708846060013,848259,23177
1588708846120617,848392,18445
1588708846193730,848392,22481
1588708846251513,848392,24083
1588708846327540,848453,21460
1588708846396051,848453,21773
1588708846454774,848453,26225
1588708846544410,848361,20914
1588708846588251,848361,17990
1588708846676109,848220,20498
1588708846724320,848220,21042
1588708846787835,848220,19000
1588708846855848,848220,23491
1588708846920113,848260,18186
1588708846991506,848260,24477
1588708847050804,848260,21830
1588708847134854,848307,23821
1588708847188539,848307,21225
1588708847269685,848494,22462
1588708847327600,848494,22290
1588708847390194,848494,21626
1588708847470646,848494,17888
1588708847522618,848664,21712
1588708847609032,848664,19223
1588708847658263,848757,20494
1588708847722947,848757,20691
1588708847794965,848757,20353
1588708847856174,848757,21101
1588708847931593,848899,21491
1588708847988876,848899,21645
1588708848065545,848899,21678
1588708848123462,848989,24241
1588708848192836,848989,21820
