Time,NPoints,FrameTime
1588708906923023,337820,137311
1588708907071512,366041,19083
1588708907114230,366041,17902
1588708907187074,394288,23033
1588708907245748,394288,22323
1588708907313610,394288,19587
1588708907387067,422498,21113
1588708907446352,422498,21418
1588708907514466,422498,23567
1588708907607713,450688,20746
1588708907658209,450688,24503
1588708907713275,450688,25607
1588708907780915,478918,23199
1588708907856247,478918,20477
1588708907916320,478918,22250
1588708907990655,507117,25050
1588708908047234,507117,20832
1588708908116565,507117,21405
1588708908186235,535334,23389
1588708908252183,535334,26671
1588708908315062,535334,22193
1588708908386484,563548,21583
1588708908453601,563548,23804
1588708908521782,563548,21799
1588708908595409,591761,23163
1588708908650354,591761,20608
1588708908719417,591761,21184
1588708908786371,620042,27632
1588708908844885,620042,17181
1588708908915702,620042,23033
1588708908981236,620042,16720
1588708909057873,648375,25360
1588708909114299,648375,18475
1588708909184799,648375,26094
1588708909250072,676757,18340
1588708909316209,676757,17650
1588708909392333,705102,21612
1588708909448466,705102,24649
1588708909516291,705102,19003
1588708909595644,733412,22589
1588708909652427,733412,27211
1588708909721737,733412,18931
1588708909785462,761671,21523
1588708909854398,761671,26367
1588708909917189,761671,22419
1588708909992205,761671,19308
1588708910046837,789872,21480
1588708910121236,789872,21958
1588708910208695,818125,19256
1588708910248216,818125,18594
1588708910331610,818125,27552
1588708910388148,818125,19591
1588708910446697,846415,22776
1588708910513253,846415,21142
1588708910603543,846785,19694
1588708910652033,846785,21193
1588708910715828,846785,26594
1588708910784229,846785,25738
1588708910845628,847095,18344
1588708910921753,847095,30274
1588708910990527,847095,21738
1588708911051578,847439,22471
1588708911124816,847439,24553
1588708911186579,847626,21092
1588708911252970,847626,21399
1588708911315587,847626,20219
1588708911401581,847626,22854
1588708911453330,847773,26494
1588708911519998,847773,28832
1588708911589372,847773,21168
1588708911658877,847940,24534
1588708911732626,847940,20045
1588708911786775,848081,19954
1588708911854625,848081,23217
1588708911916295,848081,20414
1588708911984469,848081,20575
1588708912059315,848259,27168
1588708912114525,848259,20413
1588708912190010,848259,29621
1588708912252534,848392,18533
1588708912323732,848392,21046
1588708912381562,848392,18247
1588708912457527,848453,24274
1588708912526090,848453,20001
1588708912584778,848453,20584
1588708912674282,848361,21236
1588708912718284,848361,25127
1588708912812520,848220,20868
1588708912854386,848220,22610
1588708912917886,848220,19804
1588708912985725,848220,22508
1588708913050147,848260,20602
1588708913121261,848260,22980
1588708913180835,848260,20703
1588708913264648,848307,20509
1588708913318655,848307,25725
1588708913402358,848494,20354
1588708913457650,848494,20639
1588708913520130,848494,19395
1588708913600735,848494,22495
1588708913657156,848664,25434
1588708913739002,848664,27484
1588708913788406,848757,20099
1588708913853061,848757,20639
1588708913924988,848757,26663
1588708913986239,848757,20861
1588708914061639,848899,26666
1588708914118963,848899,19767
1588708914195457,848899,19520
1588708914253499,848989,20279
1588708914322850,848989,21377
