Time,NPoints,FrameTime
1588708763769656,309842,132208
1588708763912262,338063,18796
1588708763937593,338063,16030
1588708764010441,366310,22799
1588708764069182,366310,24919
1588708764137087,366310,19257
1588708764210539,394520,18493
1588708764269865,394520,19981
1588708764338036,394520,20651
1588708764426689,422710,21942
1588708764481629,422710,22363
1588708764536750,422710,22727
1588708764604179,450940,21670
1588708764679993,450940,21444
1588708764739666,450940,22076
1588708764814108,479139,24059
1588708764870780,479139,23678
1588708764940019,479139,23980
1588708765009681,507356,24714
1588708765075659,507356,26776
1588708765138580,507356,24859
1588708765209966,535570,23704
1588708765277076,535570,26802
1588708765345276,535570,24743
1588708765415062,563783,26723
1588708765473797,563783,24271
1588708765542852,563783,23257
1588708765609778,592064,26522
1588708765668329,592064,27614
1588708765739138,592064,25210
1588708765804432,592064,24677
1588708765881334,620397,27924
1588708765937759,620397,25743
1588708766008262,620397,28778
1588708766073770,648779,26810
1588708766139673,648779,28363
1588708766215784,677124,30643
1588708766271898,677124,31050
1588708766339913,677124,30756
1588708766417031,705434,32437
1588708766475887,705434,31770
1588708766545222,705434,30780
1588708766609006,733693,35114
1588708766677914,733693,35405
1588708766740669,733693,29409
1588708766815672,733693,32824
1588708766870460,761894,36171
1588708766944632,761894,32769
1588708767025567,790147,34386
1588708767071632,790147,33595
1588708767155000,790147,35144
1588708767211605,790147,31294
1588708767270166,818437,33744
1588708767336924,818437,31333
1588708767427221,846785,35022
1588708767475501,846785,33097
1588708767539220,846785,35998
1588708767607658,846785,34358
1588708767669105,847095,35309
1588708767745248,847095,33996
1588708767814176,847095,37854
1588708767875025,847439,33284
1588708767948243,847439,33729
1588708768010941,847626,39203
1588708768076446,847626,32615
1588708768139079,847626,30920
1588708768225047,847626,35379
1588708768284793,847773,33895
1588708768343263,847773,35867
1588708768412760,847773,35081
1588708768482326,847940,33229
1588708768556073,847940,37429
1588708768616471,848081,33650
1588708768677990,848081,33813
1588708768739589,848081,36072
1588708768807912,848081,34822
1588708768882696,848259,32376
1588708768937792,848259,28626
1588708769013343,848259,32859
1588708769074087,848392,33684
1588708769147226,848392,38138
1588708769205041,848392,34867
1588708769280828,848453,37277
1588708769349579,848453,34259
1588708769408245,848453,36946
1588708769497800,848361,34504
1588708769541757,848361,32039
1588708769637023,848220,36669
1588708769677878,848220,28678
1588708769741348,848220,28776
1588708769809522,848220,35005
1588708769873625,848260,30805
1588708769944838,848260,35823
1588708770004281,848260,33339
1588708770088255,848307,35017
1588708770142025,848307,33807
1588708770223216,848494,35905
1588708770281098,848494,30127
1588708770343490,848494,34942
1588708770424224,848494,35432
1588708770479140,848664,37114
1588708770562456,848664,30712
1588708770612949,848757,34640
1588708770676599,848757,33971
1588708770748482,848757,34159
1588708770809700,848757,36537
1588708770885093,848899,34615
1588708770942462,848899,28874
1588708771019048,848899,36003
1588708771077827,848989,29877
1588708771146332,848989,28897
