Time,NPoints,FrameTime
1588708752736292,309842,133979
1588708752880432,338063,24913
1588708752905469,338063,22158
1588708752977333,366310,27685
1588708753036013,366310,27800
1588708753103913,366310,26210
1588708753177409,394520,26737
1588708753236657,394520,27345
1588708753304788,394520,26726
1588708753388441,422710,27789
1588708753448486,422710,28870
1588708753503597,422710,30365
1588708753571129,450940,27648
1588708753646791,450940,24136
1588708753706542,450940,23942
1588708753781039,479139,31373
1588708753837646,479139,32151
1588708753906879,479139,34964
1588708753976530,507356,27564
1588708754042537,507356,34030
1588708754105429,507356,31328
1588708754177032,535570,36915
1588708754243942,535570,33541
1588708754312148,535570,32991
1588708754385031,563783,35219
1588708754440674,563783,34193
1588708754509715,563783,33975
1588708754576685,592064,30431
1588708754635174,592064,36581
1588708754706006,592064,30305
1588708754771491,592064,29901
1588708754848196,620397,41506
1588708754904589,620397,36317
1588708754975111,620397,35330
1588708755040450,648779,34450
1588708755106594,648779,32686
1588708755182669,677124,40882
1588708755238680,677124,37213
1588708755306707,677124,36928
1588708755377968,705434,41480
1588708755442725,705434,40572
1588708755512065,705434,41618
1588708755575790,733693,37208
1588708755644694,733693,39744
1588708755707570,733693,36982
1588708755782545,733693,36698
1588708755837258,761894,41826
1588708755911445,761894,38128
1588708755992705,790147,39683
1588708756038444,790147,39412
1588708756121918,790147,42512
1588708756178498,790147,41820
1588708756239457,818437,44485
1588708756303821,818437,44652
1588708756386761,846785,45287
1588708756442343,846785,45163
1588708756506111,846785,49505
1588708756574498,846785,46768
1588708756642670,847095,42285
1588708756712080,847095,41875
1588708756780876,847095,41786
1588708756842174,847439,47103
1588708756915081,847439,42000
1588708756976660,847626,48153
1588708757043314,847626,44885
1588708757105999,847626,46581
1588708757191889,847626,47695
1588708757259414,847773,45857
1588708757310002,847773,41571
1588708757379621,847773,41111
1588708757449218,847940,41430
1588708757522967,847940,41101
1588708757583750,848081,45285
1588708757644875,848081,43839
1588708757706440,848081,45288
1588708757774869,848081,45131
1588708757849589,848259,45999
1588708757904854,848259,43660
1588708757980225,848259,39815
1588708758040887,848392,40720
1588708758114109,848392,47684
1588708758171890,848392,43560
1588708758247719,848453,40729
1588708758316434,848453,40024
1588708758375084,848453,42565
1588708758464571,848361,43180
1588708758508586,848361,40372
1588708758597705,848220,40811
1588708758644694,848220,42922
1588708758708245,848220,40110
1588708758776223,848220,39921
1588708758840435,848260,45456
1588708758911641,848260,40113
1588708758971167,848260,43027
1588708759055075,848307,46738
1588708759108839,848307,40364
1588708759193131,848494,45753
1588708759247962,848494,44133
1588708759310372,848494,43259
1588708759391016,848494,45516
1588708759460207,848664,40538
1588708759529333,848664,40377
1588708759589057,848757,45823
1588708759643298,848757,44404
1588708759715236,848757,40215
1588708759776568,848757,40087
1588708759851948,848899,46338
1588708759909233,848899,43226
1588708759985902,848899,45839
1588708760053662,848989,45593
1588708760113210,848989,47575
