Time,NPoints,FrameTime
1588708818763044,309842,122670
1588708818896032,338063,14007
1588708818933943,338063,15009
1588708819006795,366310,16819
1588708819065510,366310,16290
1588708819133406,366310,15952
1588708819206880,394520,16349
1588708819266203,394520,16644
1588708819334393,394520,16816
1588708819423461,422710,16882
1588708819478021,422710,15651
1588708819533064,422710,14721
1588708819600600,450940,17700
1588708819676305,450940,20152
1588708819736118,450940,15524
1588708819810475,479139,16102
1588708819867055,479139,19028
1588708819936366,479139,18505
1588708820006019,507356,17002
1588708820072053,507356,18928
1588708820134959,507356,18338
1588708820206466,535570,15652
1588708820273433,535570,17301
1588708820341677,535570,17675
1588708820413991,563783,19280
1588708820470145,563783,20344
1588708820539223,563783,18644
1588708820606195,592064,18739
1588708820664790,592064,19467
1588708820735567,592064,20058
1588708820801072,592064,22143
1588708820877651,620397,19939
1588708820934165,620397,20387
1588708821004776,620397,20083
1588708821070272,648779,18753
1588708821136250,648779,24612
1588708821212115,677124,19744
1588708821268417,677124,20397
1588708821336289,677124,22950
1588708821411357,705434,24265
1588708821472223,705434,21184
1588708821541596,705434,23496
1588708821605294,733693,23883
1588708821674190,733693,21643
1588708821737076,733693,19211
1588708821812193,733693,27121
1588708821866887,761894,27247
1588708821941038,761894,25810
1588708822022588,790147,24421
1588708822068036,790147,25397
1588708822151390,790147,24597
1588708822207948,790147,24592
1588708822266508,818437,27377
1588708822333050,818437,26436
1588708822423577,846785,28523
1588708822471799,846785,20824
1588708822535584,846785,27416
1588708822604015,846785,26392
1588708822665418,847095,20708
1588708822741616,847095,25579
1588708822810350,847095,26342
1588708822871379,847439,27969
1588708822944583,847439,24938
1588708823008098,847626,21187
1588708823072609,847626,25378
1588708823135403,847626,27679
1588708823221376,847626,27655
1588708823273032,847773,22293
1588708823339668,847773,23950
1588708823409104,847773,25282
1588708823478716,847940,24777
1588708823552446,847940,20934
1588708823607529,848081,27962
1588708823674454,848081,21712
1588708823736084,848081,20892
1588708823804362,848081,21772
1588708823879135,848259,25869
1588708823934193,848259,26944
1588708824010032,848259,26486
1588708824070361,848392,21365
1588708824143992,848392,29227
1588708824201372,848392,23420
1588708824277208,848453,25828
1588708824345912,848453,23726
1588708824404628,848453,24366
1588708824494139,848361,23659
1588708824538008,848361,22801
1588708824633832,848220,23654
1588708824674109,848220,21711
1588708824737653,848220,21089
1588708824805512,848220,21239
1588708824869981,848260,25705
1588708824941140,848260,23720
1588708825000610,848260,25670
1588708825084594,848307,26789
1588708825138303,848307,22713
1588708825223354,848494,24479
1588708825277395,848494,24973
1588708825339848,848494,24959
1588708825420379,848494,26479
1588708825472646,848664,24917
1588708825558851,848664,22306
1588708825608175,848757,24093
1588708825672875,848757,25505
1588708825744810,848757,19175
1588708825806014,848757,22989
1588708825881501,848899,26021
1588708825938894,848899,21947
1588708826015423,848899,25571
1588708826073299,848989,21918
1588708826142702,848989,21505
