Time,NPoints,FrameTime
1588708807742541,337820,122840
1588708807876218,366041,13914
1588708807928482,366041,16470
1588708808001356,394288,16392
1588708808060029,394288,18892
1588708808128196,394288,14540
1588708808201438,422498,13445
1588708808260622,422498,15211
1588708808328862,422498,13940
1588708808418519,450688,15078
1588708808472509,450688,13803
1588708808527599,450688,15380
1588708808595117,478918,16727
1588708808670823,478918,19282
1588708808730555,478918,20898
1588708808805023,507117,19209
1588708808861654,507117,18559
1588708808930903,507117,24103
1588708809000564,535334,21680
1588708809066520,535334,20233
1588708809129401,535334,20178
1588708809200928,563548,22532
1588708809267983,563548,22785
1588708809336144,563548,22937
1588708809408125,591761,22456
1588708809464693,591761,23158
1588708809533728,591761,21945
1588708809600659,620042,26213
1588708809659204,620042,22266
1588708809730022,620042,21749
1588708809795306,620042,21509
1588708809872227,648375,21599
1588708809928630,648375,20757
1588708809999201,648375,22199
1588708810064579,676757,24744
1588708810130635,676757,25487
1588708810206684,705102,24360
1588708810262755,705102,24339
1588708810330963,705102,24767
1588708810406989,733412,25984
1588708810466781,733412,23228
1588708810536125,733412,23999
1588708810599782,761671,27119
1588708810668771,761671,20885
1588708810731566,761671,22342
1588708810806600,761671,23336
1588708810861160,789872,22595
1588708810935519,789872,21431
1588708811018917,818125,24240
1588708811062526,818125,21025
1588708811145934,818125,28394
1588708811202486,818125,20188
1588708811261069,846415,26139
1588708811327624,846415,28292
1588708811415108,846785,26389
1588708811466397,846785,28435
1588708811530185,846785,28831
1588708811598609,846785,30247
1588708811660005,847095,24096
1588708811736195,847095,30832
1588708811804920,847095,25959
1588708811865962,847439,30196
1588708811939174,847439,26502
1588708812000340,847626,25046
1588708812067377,847626,30970
1588708812129950,847626,26786
1588708812215939,847626,22507
1588708812267548,847773,28697
1588708812334439,847773,30994
1588708812403676,847773,29738
1588708812473301,847940,28406
1588708812547037,847940,27811
1588708812600783,848081,28535
1588708812669027,848081,28820
1588708812730551,848081,30730
1588708812798838,848081,27565
1588708812873665,848259,27813
1588708812928806,848259,22455
1588708813004305,848259,27884
1588708813064968,848392,27599
1588708813138109,848392,26110
1588708813195944,848392,26235
1588708813271913,848453,31252
1588708813340540,848453,26546
1588708813399156,848453,22108
1588708813488852,848361,24143
1588708813532727,848361,22226
1588708813627948,848220,23212
1588708813668753,848220,26364
1588708813732322,848220,23375
1588708813800291,848220,23864
1588708813864667,848260,29355
1588708813935840,848260,21146
1588708813995169,848260,22877
1588708814079048,848307,25272
1588708814132928,848307,21146
1588708814217550,848494,20005
1588708814271975,848494,25820
1588708814334387,848494,25590
1588708814415191,848494,26539
1588708814473177,848664,23609
1588708814553377,848664,29149
1588708814604986,848757,24213
1588708814667435,848757,27765
1588708814739424,848757,27958
1588708814800599,848757,23422
1588708814876033,848899,26742
1588708814933412,848899,21421
1588708815009952,848899,21628
1588708815067890,848989,26088
1588708815137254,848989,24725
